Hampton Police Dept	VA	523	468	450	394	350	314
Newport News Police Dept	VA	1,235	1,237	1,023	983	845	754
Norfolk Police Dept	VA	1,981	1,971	1,608	1,450	1,424	1,332
Richmond (City) Bureau Of Police	VA	1,841	1,588	1,657	1,514	1,428	1,348
Virginia Beach Police Dept	VA	1,084	1,040	896	831	776	758
Bellevue Police Dept	WA	138	168	162	138	140	161
Everett Police Dept	WA	564	584	610	535	450	481
Kent Police Dept	WA	525	543	507	501	577	543
Seattle Police Dept	WA	3,667	3,447	3,861	3,515	3,664	3,746
Spokane Police Dept	WA	1,322	1,352	1,270	1,270	1,304	1,369
Tacoma Police Dept	WA	2,066	2,008	1,949	1,704	1,507	1,615
Vancouver Police Dept	WA	646	605	656	671	633	592
Green Bay Police Dept	WI	616	502	473	370	373	514
Madison City Police Dept	WI	834	891	853	939	815	897
Milwaukee Police Dept	WI	8,057	7,404	6,661	6,336	5,969	7,759
